"Date","Price","Open","High","Low","Change %"
"May 09, 2016","6.5169","6.4979","6.5184","6.4979","0.26%"
"May 06, 2016","6.5001","6.5069","6.5105","6.4986","-0.05%"
"May 05, 2016","6.5034","6.5011","6.5095","6.4983","0.13%"
"May 04, 2016","6.4947","6.4916","6.5066","6.4915","0.05%"
"May 03, 2016","6.4917","6.4738","6.4917","6.4714","0.27%"
"May 02, 2016","6.4741","6.4741","6.4741","6.4741","0.00%"
"Apr 29, 2016","6.4741","6.4737","6.4882","6.4622","-0.03%"
"Apr 28, 2016","6.4759","6.4990","6.5047","6.4756","-0.29%"
"Apr 27, 2016","6.4950","6.4880","6.4972","6.4875","0.02%"
"Apr 26, 2016","6.4935","6.4896","6.4999","6.4896","0.01%"
"Apr 25, 2016","6.4930","6.5089","6.5115","6.4928","-0.12%"
"Apr 22, 2016","6.5009","6.4826","6.5009","6.4780","0.29%"
"Apr 21, 2016","6.4819","6.4810","6.4856","6.4715","0.17%"
"Apr 20, 2016","6.4708","6.4628","6.4733","6.4628","0.20%"
"Apr 19, 2016","6.4581","6.4756","6.4781","6.4581","-0.26%"
"Apr 18, 2016","6.4752","6.4802","6.4855","6.4752","-0.01%"
"Apr 15, 2016","6.4756","6.4826","6.4901","6.4701","-0.11%"
"Apr 14, 2016","6.4826","6.4857","6.4898","6.4778","0.06%"
"Apr 13, 2016","6.4784","6.4631","6.4784","6.4616","0.20%"
"Apr 12, 2016","6.4656","6.4613","6.4726","6.4572","0.09%"
"Apr 11, 2016","6.4595","6.4631","6.4745","6.4565","-0.10%"
"Apr 08, 2016","6.4658","6.4761","6.4827","6.4658","0.04%"
"Apr 07, 2016","6.4630","6.4784","6.4790","6.4630","-0.28%"
"Apr 06, 2016","6.4809","6.4782","6.4901","6.4771","0.06%"
"Apr 05, 2016","6.4772","6.4685","6.4786","6.4663","-0.02%"
"Apr 04, 2016","6.4786","6.4786","6.4786","6.4786","0.00%"
"Apr 01, 2016","6.4786","6.4604","6.4802","6.4604","0.46%"
"Mar 31, 2016","6.4490","6.4670","6.4690","6.4480","-0.25%"
"Mar 30, 2016","6.4650","6.5068","6.5068","6.4650","-0.64%"
"Mar 29, 2016","6.5066","6.5082","6.5117","6.5062","-0.01%"
"Mar 28, 2016","6.5075","6.5195","6.5214","6.5073","-0.13%"
"Mar 25, 2016","6.5160","6.5175","6.5231","6.5115","0.02%"
"Mar 24, 2016","6.5146","6.5114","6.5191","6.5083","0.13%"
"Mar 23, 2016","6.5062","6.4908","6.5088","6.4864","0.25%"
"Mar 22, 2016","6.4901","6.4977","6.5000","6.4864","0.08%"
"Mar 21, 2016","6.4846","6.4833","6.4897","6.4789","0.20%"
"Mar 18, 2016","6.4716","6.4762","6.4858","6.4629","-0.05%"
"Mar 17, 2016","6.4750","6.4966","6.5003","6.4725","-0.72%"
"Mar 16, 2016","6.5220","6.5139","6.5260","6.5139","0.12%"
"Mar 15, 2016","6.5145","6.5013","6.5185","6.5013","0.22%"
"Mar 14, 2016","6.5000","6.4931","6.5020","6.4914","0.07%"
"Mar 11, 2016","6.4953","6.5083","6.5083","6.4863","-0.20%"
"Mar 10, 2016","6.5085","6.5145","6.5244","6.5081","-0.07%"
"Mar 09, 2016","6.5130","6.5095","6.5176","6.5095","0.13%"
"Mar 08, 2016","6.5047","6.5161","6.5161","6.5008","-0.19%"
"Mar 07, 2016","6.5168","6.5078","6.5203","6.5052","0.14%"
"Mar 04, 2016","6.5080","6.5300","6.5324","6.5050","-0.36%"
"Mar 03, 2016","6.5314","6.5502","6.5502","6.5314","-0.30%"
"Mar 02, 2016","6.5510","6.5530","6.5543","6.5496","-0.02%"
"Mar 01, 2016","6.5521","6.5459","6.5542","6.5410","-0.03%"
"Feb 29, 2016","6.5540","6.5477","6.5550","6.5467","0.21%"
"Feb 26, 2016","6.5404","6.5298","6.5414","6.5298","0.11%"
"Feb 25, 2016","6.5335","6.5336","6.5355","6.5310","0.03%"
"Feb 24, 2016","6.5317","6.5322","6.5397","6.5311","0.07%"
"Feb 23, 2016","6.5271","6.5288","6.5299","6.5253","0.08%"
"Feb 22, 2016","6.5218","6.5186","6.5238","6.5178","-0.01%"
"Feb 19, 2016","6.5224","6.5202","6.5237","6.5172","0.06%"
"Feb 18, 2016","6.5188","6.5242","6.5242","6.5160","-0.14%"
"Feb 17, 2016","6.5282","6.5257","6.5293","6.5229","0.17%"
"Feb 16, 2016","6.5169","6.5011","6.5193","6.5006","0.32%"
"Feb 15, 2016","6.4962","6.5304","6.5309","6.4889","-1.18%"
"Feb 12, 2016","6.5739","6.5739","6.5739","6.5739","0.00%"
"Feb 11, 2016","6.5739","6.5739","6.5739","6.5739","0.00%"
"Feb 10, 2016","6.5739","6.5739","6.5739","6.5739","0.00%"
"Feb 09, 2016","6.5739","6.5739","6.5739","6.5739","0.00%"
"Feb 08, 2016","6.5739","6.5739","6.5739","6.5739","0.00%"
"Feb 05, 2016","6.5739","6.5684","6.5754","6.5679","0.14%"
"Feb 04, 2016","6.5648","6.5765","6.5791","6.5643","-0.19%"
"Feb 03, 2016","6.5770","6.5793","6.5805","6.5752","-0.04%"
"Feb 02, 2016","6.5798","6.5783","6.5800","6.5772","0.02%"
"Feb 01, 2016","6.5784","6.5744","6.5819","6.5744","0.03%"
"Jan 29, 2016","6.5761","6.5745","6.5796","6.5732","0.02%"
"Jan 28, 2016","6.5751","6.5777","6.5789","6.5736","-0.04%"
"Jan 27, 2016","6.5778","6.5804","6.5818","6.5755","-0.07%"
"Jan 26, 2016","6.5825","6.5794","6.5851","6.5787","0.05%"
"Jan 25, 2016","6.5793","6.5784","6.5800","6.5774","0.00%"
"Jan 22, 2016","6.5791","6.5784","6.5800","6.5772","-0.01%"
"Jan 21, 2016","6.5800","6.5787","6.5805","6.5756","0.02%"
"Jan 20, 2016","6.5784","6.5769","6.5803","6.5769","-0.00%"
"Jan 19, 2016","6.5785","6.5753","6.5796","6.5753","-0.01%"
"Jan 18, 2016","6.5789","6.5840","6.5840","6.5754","-0.09%"
"Jan 15, 2016","6.5849","6.5857","6.5884","6.5834","-0.08%"
"Jan 14, 2016","6.5901","6.5776","6.5921","6.5776","0.22%"
"Jan 13, 2016","6.5754","6.5701","6.5806","6.5701","0.04%"
"Jan 12, 2016","6.5725","6.5682","6.5805","6.5682","0.05%"
"Jan 11, 2016","6.5695","6.5952","6.5952","6.5695","-0.41%"
"Jan 08, 2016","6.5965","6.5686","6.5967","6.5672","0.05%"
"Jan 07, 2016","6.5929","6.5823","6.5948","6.5796","0.55%"
"Jan 06, 2016","6.5566","6.5271","6.5615","6.5271","0.64%"
"Jan 05, 2016","6.5148","6.5210","6.5247","6.5143","-0.32%"
"Jan 04, 2016","6.5354","6.5084","6.5366","6.5084","0.64%"
"Jan 01, 2016","6.4936","6.4936","6.4936","6.4936","0.00%"
"Dec 31, 2015","6.4936","6.4917","6.4950","6.4897","0.04%"
"Dec 30, 2015","6.4912","6.4864","6.4924","6.4864","0.10%"
"Dec 29, 2015","6.4848","6.4867","6.4883","6.4844","-0.06%"
"Dec 28, 2015","6.4886","6.4763","6.4890","6.4761","0.19%"
"Dec 25, 2015","6.4764","6.4745","6.4778","6.4692","-0.01%"
"Dec 24, 2015","6.4773","6.4782","6.4801","6.4760","-0.01%"
"Dec 23, 2015","6.4778","6.4778","6.4795","6.4756","-0.02%"
"Dec 22, 2015","6.4788","6.4799","6.4799","6.4761","-0.03%"
"Dec 21, 2015","6.4808","6.4808","6.4825","6.4784","-0.01%"
"Dec 18, 2015","6.4815","6.4820","6.4849","6.4778","-0.03%"
"Dec 17, 2015","6.4837","6.4737","6.4851","6.4737","0.16%"
"Dec 16, 2015","6.4733","6.4617","6.4733","6.4588","0.19%"
"Dec 15, 2015","6.4610","6.4607","6.4702","6.4561","0.03%"
"Dec 14, 2015","6.4589","6.4634","6.4651","6.4548","0.06%"
"Dec 11, 2015","6.4553","6.4397","6.4573","6.4397","0.27%"
"Dec 10, 2015","6.4378","6.4291","6.4415","6.4290","0.15%"
"Dec 09, 2015","6.4280","6.4196","6.4289","6.4184","0.17%"
"Dec 08, 2015","6.4172","6.4110","6.4193","6.4110","0.14%"
"Dec 07, 2015","6.4082","6.3995","6.4086","6.3995","0.11%"
"Dec 04, 2015","6.4010","6.3893","6.4041","6.3891","0.05%"
"Dec 03, 2015","6.3975","6.3990","6.4000","6.3948","-0.02%"
"Dec 02, 2015","6.3987","6.3960","6.3988","6.3956","0.00%"
"Dec 01, 2015","6.3987","6.3966","6.3989","6.3964","0.01%"
"Nov 30, 2015","6.3982","6.3960","6.3983","6.3903","0.05%"
"Nov 27, 2015","6.3949","6.3918","6.3965","6.3906","0.08%"
"Nov 26, 2015","6.3895","6.3880","6.3898","6.3872","0.00%"
"Nov 25, 2015","6.3892","6.3892","6.3909","6.3865","-0.01%"
"Nov 24, 2015","6.3898","6.3878","6.3910","6.3868","0.01%"
"Nov 23, 2015","6.3893","6.3842","6.3909","6.3842","0.07%"
"Nov 20, 2015","6.3850","6.3827","6.3869","6.3786","0.03%"
"Nov 19, 2015","6.3830","6.3850","6.3850","6.3735","-0.03%"
"Nov 18, 2015","6.3849","6.3803","6.3866","6.3791","0.10%"
"Nov 17, 2015","6.3786","6.3702","6.3798","6.3685","0.12%"
"Nov 16, 2015","6.3712","6.3770","6.3803","6.3613","-0.04%"
"Nov 13, 2015","6.3737","6.3689","6.3753","6.3684","0.07%"
"Nov 12, 2015","6.3693","6.3689","6.3695","6.3639","0.03%"
"Nov 11, 2015","6.3674","6.3611","6.3674","6.3563","0.09%"
"Nov 10, 2015","6.3618","6.3634","6.3645","6.3545","-0.00%"
"Nov 09, 2015","6.3621","6.3638","6.3674","6.3572","0.14%"
"Nov 06, 2015","6.3530","6.3487","6.3548","6.3439","0.11%"
"Nov 05, 2015","6.3461","6.3383","6.3467","6.3353","0.16%"
"Nov 04, 2015","6.3359","6.3350","6.3415","6.3312","-0.00%"
"Nov 03, 2015","6.3361","6.3339","6.3418","6.3323","-0.02%"
"Nov 02, 2015","6.3374","6.3189","6.3460","6.3173","0.31%"
